,100 mM K-phosphate,,,100 mM Na-phosphate
time,NADH,,time,NADH
1085,146525,,1085,159216
1086,146816,,1086,158936
1087,146148,,1087,158195
1088,147055,,1088,158427
1089,147092,,1089,158165
1090,146122,,1090,158566
1091,146342,,1091,159624
1092,145785,,1092,158210
1093,146147,,1093,159689
1094,145674,,1094,158515
1095,145715,,1095,159118
1096,145610,,1096,158469
1097,143688,,1097,159383
1098,144506,,1098,159178
1099,143702,,1099,159293
1100,143103,,1100,158122
1101,142984,,1101,157889
1102,143073,,1102,158577
1103,142189,,1103,158690
1104,141675,,1104,159063
1105,142156,,1105,159072
1106,140902,,1106,158465
1107,141906,,1107,159572
1108,141733,,1108,158306
1109,141292,,1109,158611
1110,142528,,1110,159161
1111,142481,,1111,159081
1112,142277,,1112,159102
1113,143633,,1113,159619
1114,142319,,1114,158933
1115,143758,,1115,159342
1116,143294,,1116,159513
1117,145066,,1117,159543
1118,145157,,1118,159184
1119,144450,,1119,158990
1120,145300,,1120,159136
1121,145850,,1121,159534
1122,145621,,1122,159182
1123,145719,,1123,159211
1124,147093,,1124,158394
1125,147239,,1125,159749
1126,146590,,1126,159797
1127,147190,,1127,159877
1128,146748,,1128,158204
1129,147446,,1129,158675
1130,147302,,1130,159114
1131,147047,,1131,159371
1132,146473,,1132,158579
1133,145731,,1133,159068
1134,145705,,1134,158126
1135,145861,,1135,158354
1136,144603,,1136,159746
1137,144817,,1137,158684
1138,144434,,1138,158957
1139,144080,,1139,159750
1140,142277,,1140,159531
1141,143549,,1141,159089
1142,143634,,1142,159730
1143,142628,,1143,157692
1144,142216,,1144,158866
1145,141905,,1145,158234
1146,141232,,1146,157723
1147,142022,,1147,158992
1148,141591,,1148,158522
1149,142069,,1149,158743
1150,142608,,1150,158570
1151,142180,,1151,159085
1152,142017,,1152,158926
1153,143385,,1153,159156
1154,143356,,1154,159440
1155,144403,,1155,158696
1156,144442,,1156,159444
1157,144246,,1157,159111
1158,145227,,1158,159450
1159,144912,,1159,159065
1160,146043,,1160,159133
1161,147865,,1161,158707
1162,146199,,1162,159313
1163,146166,,1163,159212
1164,146858,,1164,159143
1165,147341,,1165,159860
1166,147063,,1166,159304
1167,148214,,1167,159910
1168,147921,,1168,159436
1169,146644,,1169,159692
1170,147705,,1170,159914
1171,146612,,1171,159424
1172,146635,,1172,158453
1173,146172,,1173,159130
1174,146550,,1174,159101
1175,145711,,1175,160017
1176,145037,,1176,159893
1177,145156,,1177,160306
1178,144130,,1178,159080
1179,144184,,1179,159705
1180,143357,,1180,159334
1181,143001,,1181,158254
1182,142633,,1182,159051
1183,142081,,1183,160709
1184,142828,,1184,159363
1185,142909,,1185,159621
1186,143435,,1186,158788
1187,142077,,1187,159693
1188,143153,,1188,159369
1189,142895,,1189,159173
1190,142738,,1190,159691
1191,142729,,1191,160053
1192,142882,,1192,159416
1193,142964,,1193,160059
1194,144370,,1194,159564
1195,142942,,1195,159934
1196,145115,,1196,159584
1197,145617,,1197,159669
1198,144879,,1198,159813
1199,144896,,1199,158779
1200,145787,,1200,160342
1201,146875,,1201,159000
1202,146713,,1202,160271
1203,146889,,1203,158133
1204,147586,,1204,159191
1205,147966,,1205,160325
1206,147734,,1206,159548
1207,147703,,1207,160138
1208,147766,,1208,159720
1209,147073,,1209,159380
